"PISCINA";"dia";"OXIGESUP";"OXIGEFON";"TEMPSUP";"TEMPFON";"SALINSUP";"SALINFON";"TRANSP";"NIVEL"
2;1;5,20;4,80;29,67;29,00;7,67;7,67;0,38;-73,67
2;2;4,47;4,13;29,67;29,00;8,00;8,00;0,33;-11,33
2;3;4,53;4,20;30,00;29,00;9,00;9,00;0,34;-4,33
2;4;5,07;4,53;29,67;28,67;10,00;10,00;0,25;-6,00
2;5;4,13;3,87;29,00;28,00;12,00;12,00;0,23;-9,00
2;6;4,40;3,87;28,67;27,67;14,00;14,00;0,28;-9,67
2;7;4,20;3,93;29,00;28,00;15,67;15,67;0,28;-11,00
2;8;3,33;3,13;30,00;29,00;17,00;17,00;0,32;-12,00
2;9;3,60;3,27;30,00;29,00;19,00;19,00;0,28;-17,67
2;10;2,67;2,47;30,00;29,00;20,00;20,00;0,30;-15,00
2;11;3,07;2,87;30,33;29,33;20,00;20,00;0,29;-15,33
2;12;3,40;3,07;30,00;29,00;20,00;20,00;0,28;-18,67
2;13;4,53;4,33;30,67;29,67;20,00;20,00;0,29;-18,67
2;14;4,00;3,80;31,00;30,00;20,00;20,00;0,29;-15,00
2;15;5,00;4,67;30,33;29,33;20,00;20,00;0,29;-15,33
2;16;4,33;4,07;29,33;29,00;20,00;20,00;0,29;-14,33
2;17;3,60;2,93;30,00;29,00;17,67;17,67;0,30;-13,33
2;18;2,80;2,47;30,00;29,00;16,00;16,00;0,30;-15,00
2;19;2,33;2,07;31,33;30,33;15,33;15,33;0,30;-11,33
2;20;13,87;8,20;34,33;32,00;7,67;7,67;0,33;-84,00
2;21;13,80;9,60;32,00;30,33;8,00;8,00;0,28;-11,33
2;22;11,87;8,07;32,00;30,00;9,00;9,00;0,29;0,00
2;23;10,93;9,13;31,67;30,00;10,00;10,00;0,21;0,00
2;24;10,47;8,07;30,33;29,00;12,00;12,00;0,20;0,00
2;25;11,93;8,33;31,33;30,00;14,00;14,00;0,27;0,00
2;26;7,88;8,33;31,33;29,33;15,67;15,67;0,28;-1,67
2;27;9,67;7,53;31,67;30,00;17,00;17,00;0,30;0,00
2;28;11,40;8,13;32,00;30,00;19,00;19,00;0,28;-6,67
2;29;12,60;8,13;31,67;30,00;20,00;20,00;0,29;-1,33
2;30;10,60;7,73;32,00;30,33;20,00;20,00;0,28;0,00
2;31;9,80;8,00;31,67;30,67;20,00;20,00;0,29;0,00
2;32;11,20;8,47;33,33;31,67;20,00;20,00;0,30;0,00
2;33;10,20;7,80;32,67;30,67;20,00;20,00;0,27;0,00
2;34;15,53;8,53;31,67;30,33;20,00;20,00;0,29;0,00
2;35;10,80;8,00;31,67;30,33;20,00;20,00;0,29;0,00
2;36;14,07;11,73;32,67;31,00;17,33;17,33;0,30;0,00
2;37;13,00;10,73;32,33;30,67;16,00;16,00;0,30;0,00
2;38;13,00;10,07;34,00;32,00;15,00;15,00;0,30;-4,67
3;1;6,30;5,92;30,50;29,83;4,33;4,33;0,33;-52,17
3;2;3,37;2,97;29,50;29,17;5,00;5,00;0,62;-22,83
3;3;5,73;5,23;30,17;29,17;6,33;6,33;0,39;-19,33
3;4;5,50;5,07;29,67;29,00;7,67;7,67;0,28;-1,67
3;5;4,03;3,60;29,83;29,00;8,33;8,33;0,26;-3,33
3;6;3,80;3,40;29,83;28,83;10,00;10,00;0,27;-9,33
